trial_id,trial_path,model_key,model,pretrained,scenario_key,raw_scenario_key,dataset,perturbation,accuracy,relative_accuracy,js,cka,drop_same,drop_id
trial_0054,Cache/MetaData/trial_0054/experiment_summary.json,resnet50__in1k,resnet50,in1k,imagenet_200__localwarp,imagenet_200__localwarp,imagenet_200,localwarp,0.18079999089241028,0.1897258749248072,0.6127926111221313,0.2272448092699051,0.7507999837398529,0.7507999837398529
trial_0054,Cache/MetaData/trial_0054/experiment_summary.json,resnet50__in1k,resnet50,in1k,imagenet_r__original,imagenet_r__original,imagenet_r,original,0.40886667370796204,,,,,0.5227333009243011
trial_0054,Cache/MetaData/trial_0054/experiment_summary.json,resnet50__in1k,resnet50,in1k,imagenet_r__grayscale,imagenet_r__grayscale,imagenet_r,grayscale,0.37513333559036255,0.9164740734661553,0.2009889930486679,0.7556198835372925,0.03373333811759949,0.5564666390419006
trial_0054,Cache/MetaData/trial_0054/experiment_summary.json,resnet50__in1k,resnet50,in1k,imagenet_r__bilateral,imagenet_r__bilateral,imagenet_r,bilateral,0.4093666672706604,1.0012380163931522,0.2142258882522583,0.7375521659851074,-0.0004999935626983643,0.5222333073616028
trial_0054,Cache/MetaData/trial_0054/experiment_summary.json,resnet50__in1k,resnet50,in1k,imagenet_r__patchshuffle,imagenet_r__patchshuffle,imagenet_r,patchshuffle,0.16566666960716248,0.3978210634020804,0.3909924030303955,0.5516562461853027,0.24320000410079956,0.7659333050251007
trial_0054,Cache/MetaData/trial_0054/experiment_summary.json,resnet50__in1k,resnet50,in1k,imagenet_r__patchrotation,imagenet_r__patchrotation,imagenet_r,patchrotation,0.09989999979734421,0.23497853617396233,0.4764576554298401,0.4600007236003876,0.30896667391061783,0.831699974834919
trial_0054,Cache/MetaData/trial_0054/experiment_summary.json,resnet50__in1k,resnet50,in1k,imagenet_r__localwarp,imagenet_r__localwarp,imagenet_r,localwarp,0.0273333340883255,0.05529877938003581,0.5784727931022644,0.3767922520637512,0.38153333961963654,0.9042666405439377
trial_0054,Cache/MetaData/trial_0054/experiment_summary.json,vit-b__augreg_in1k,vit-b,augreg_in1k,imagenet__original,imagenet__original,imagenet,original,0.7915999889373779,,,,,0.0
trial_0054,Cache/MetaData/trial_0054/experiment_summary.json,vit-b__augreg_in1k,vit-b,augreg_in1k,imagenet__grayscale,imagenet__grayscale,imagenet,grayscale,0.6700400114059448,0.8462433857419879,0.13156758248806,0.8319383263587952,0.1215599775314331,0.1215599775314331
trial_0054,Cache/MetaData/trial_0054/experiment_summary.json,vit-b__augreg_in1k,vit-b,augreg_in1k,imagenet__bilateral,imagenet__bilateral,imagenet,bilateral,0.6920999884605408,0.8741462156980647,0.10069355368614197,0.8787321448326111,0.09950000047683716,0.09950000047683716
trial_0054,Cache/MetaData/trial_0054/experiment_summary.json,vit-b__augreg_in1k,vit-b,augreg_in1k,imagenet__patchshuffle,imagenet__patchshuffle,imagenet,patchshuffle,0.5017399787902832,0.6333670450252763,0.26450324058532715,0.7132125496864319,0.2898600101470947,0.2898600101470947
trial_0054,Cache/MetaData/trial_0054/experiment_summary.json,vit-b__augreg_in1k,vit-b,augreg_in1k,imagenet__patchrotation,imagenet__patchrotation,imagenet,patchrotation,0.4507799744606018,0.5689096645006759,0.30977416038513184,0.6673613786697388,0.3408200144767761,0.3408200144767761
trial_0054,Cache/MetaData/trial_0054/experiment_summary.json,vit-b__augreg_in1k,vit-b,augreg_in1k,imagenet__localwarp,imagenet__localwarp,imagenet,localwarp,0.39295998215675354,0.4957753448536919,0.3533681035041809,0.6038685441017151,0.3986400067806244,0.3986400067806244
trial_0054,Cache/MetaData/trial_0054/experiment_summary.json,vit-b__augreg_in1k,vit-b,augreg_in1k,imagenet_200__original,imagenet_200__original,imagenet_200,original,0.9336999654769897,,,,,0.0
trial_0054,Cache/MetaData/trial_0054/experiment_summary.json,vit-b__augreg_in1k,vit-b,augreg_in1k,imagenet_200__grayscale,imagenet_200__grayscale,imagenet_200,grayscale,0.8540999889373779,0.9142888128581673,0.11936738342046738,0.8405249118804932,0.07959997653961182,0.07959997653961182
trial_0054,Cache/MetaData/trial_0054/experiment_summary.json,vit-b__augreg_in1k,vit-b,augreg_in1k,imagenet_200__bilateral,imagenet_200__bilateral,imagenet_200,bilateral,0.8695999979972839,0.9309788200037421,0.09028562903404236,0.8864769339561462,0.06409996747970581,0.06409996747970581
trial_0054,Cache/MetaData/trial_0054/experiment_summary.json,vit-b__augreg_in1k,vit-b,augreg_in1k,imagenet_200__patchshuffle,imagenet_200__patchshuffle,imagenet_200,patchshuffle,0.7268999814987183,0.7773231488470478,0.22953839600086212,0.7198933959007263,0.20679998397827148,0.20679998397827148
trial_0054,Cache/MetaData/trial_0054/experiment_summary.json,vit-b__augreg_in1k,vit-b,augreg_in1k,imagenet_200__patchrotation,imagenet_200__patchrotation,imagenet_200,patchrotation,0.6743999719619751,0.7207925022568128,0.28690269589424133,0.6576954126358032,0.25929999351501465,0.25929999351501465
